date,coal
2021-07-14,295.0
2021-07-15,127.15
2021-07-16,105.75
2021-07-17,105.75
2021-07-18,105.75
2021-07-19,330.0
2021-07-20,125.5
2021-07-21,388.9
2021-07-22,320.0
2021-07-23,169.0
2021-07-24,169.0
2021-07-25,169.0
2021-07-26,341.0
2021-07-27,230.0
2021-07-28,157.5
2021-07-29,191.5
2021-07-30,134.55
2021-07-31,134.55
2021-08-01,134.55
2021-08-02,256.5
2021-08-03,172.6
2021-08-04,68.6
2021-08-05,187.75
2021-08-06,128.0
2021-08-07,128.0
2021-08-08,128.0
2021-08-09,66.0
2021-08-10,418.0
2021-08-11,126.75
2021-08-12,67.55
2021-08-13,310.85
2021-08-14,310.85
2021-08-15,310.85
2021-08-16,125.0
2021-08-17,108.25
2021-08-18,323.0
2021-08-19,126.8
2021-08-20,145.75
2021-08-21,145.75
2021-08-22,145.75
2021-08-23,328.75
2021-08-24,169.7
2021-08-25,337.0
2021-08-26,51.05
2021-08-27,152.0
2021-08-28,152.0
2021-08-29,152.0
2021-08-30,152.0
2021-08-31,188.8
2021-09-01,63.3
2021-09-02,134.9
2021-09-03,260.9
2021-09-04,260.9
2021-09-05,260.9
2021-09-06,138.55
2021-09-07,172.1
2021-09-08,68.0
2021-09-09,188.15
2021-09-10,132.0
2021-09-11,132.0
2021-09-12,132.0
2021-09-13,65.8
2021-09-14,367.5
2021-09-15,135.0
2021-09-16,135.1
2021-09-17,83.8
2021-09-18,83.8
2021-09-19,83.8
2021-09-20,313.15
2021-09-21,122.45
2021-09-22,110.0
2021-09-23,317.5
2021-09-24,146.0
2021-09-25,146.0
2021-09-26,146.0
2021-09-27,342.0
2021-09-28,170.85
2021-09-29,262.0
2021-09-30,142.1
2021-10-01,190.65
2021-10-02,190.65
2021-10-03,190.65
2021-10-04,64.0
2021-10-05,134.9
2021-10-06,68.5
2021-10-07,136.0
2021-10-08,165.0
2021-10-09,165.0
2021-10-10,165.0
2021-10-11,67.35
2021-10-12,189.5
2021-10-13,65.8
2021-10-14,363.95
2021-10-15,300.0
2021-10-16,300.0
2021-10-17,300.0
2021-10-18,129.45
2021-10-19,84.8
2021-10-20,319.0
2021-10-21,110.0
2021-10-22,390.0
2021-10-23,390.0
2021-10-24,390.0
2021-10-25,147.6
2021-10-26,344.0
2021-10-27,241.5
2021-10-28,265.85
2021-10-29,142.0
2021-10-30,142.0
2021-10-31,142.0
2021-11-01,190.55
2021-11-02,65.0
2021-11-03,70.5
2021-11-04,139.0
2021-11-05,172.7
2021-11-06,172.7
2021-11-07,172.7
2021-11-08,67.0
2021-11-09,66.05
2021-11-10,68.35
2021-11-11,320.0
2021-11-12,133.8
2021-11-13,133.8
2021-11-14,133.8
2021-11-15,85.85
2021-11-16,325.5
2021-11-17,126.65
2021-11-18,397.5
2021-11-19,150.0
2021-11-20,150.0
2021-11-21,150.0
2021-11-22,350.5
2021-11-23,329.0
2021-11-24,243.15
2021-11-25,280.1
2021-11-26,139.0
2021-11-27,139.0
2021-11-28,139.0
2021-11-29,250.25
2021-11-30,70.15
2021-12-01,148.9
2021-12-02,169.0
2021-12-03,132.0
2021-12-04,132.0
2021-12-05,132.0
2021-12-06,138.65
2021-12-07,68.85
2021-12-08,321.35
2021-12-09,134.4
2021-12-10,85.7
2021-12-11,85.7
2021-12-12,85.7
2021-12-13,319.0
2021-12-14,317.15
2021-12-15,131.1
2021-12-16,395.0
2021-12-17,149.7
2021-12-18,149.7
2021-12-19,149.7
2021-12-20,171.7
2021-12-21,336.0
2021-12-22,244.95
2021-12-23,272.5
2021-12-24,136.5
2021-12-25,136.5
2021-12-26,136.5
2021-12-27,247.0
2021-12-28,69.9
2021-12-29,154.0
2021-12-30,190.35
2021-12-31,134.0
2022-01-01,134.0
2022-01-02,134.0
2022-01-03,357.35
2022-01-04,141.0
2022-01-05,69.15
2022-01-06,322.55
2022-01-07,135.9
2022-01-08,135.9
2022-01-09,135.9
2022-01-10,85.4
2022-01-11,109.0
2022-01-12,323.0
2022-01-13,131.75
2022-01-14,392.6
2022-01-15,392.6
2022-01-16,392.6
2022-01-17,171.0
2022-01-18,336.0
2022-01-19,243.65
2022-01-20,274.0
2022-01-21,194.0
2022-01-22,194.0
2022-01-23,194.0
2022-01-24,65.4
2022-01-25,140.55
2022-01-26,240.6
2022-01-27,68.6
2022-01-28,65.3
2022-01-29,65.3
2022-01-30,65.3
2022-01-31,186.65
2022-02-01,136.5
2022-02-02,66.35
2022-02-03,336.25
2022-02-04,138.0
2022-02-05,138.0
2022-02-06,138.0
2022-02-07,70.2
2022-02-08,108.0
2022-02-09,332.45
2022-02-10,132.0
2022-02-11,385.05
2022-02-12,385.05
2022-02-13,385.05
2022-02-14,353.9
2022-02-15,169.5
2022-02-16,337.2
2022-02-17,240.05
2022-02-18,138.65
2022-02-19,138.65
2022-02-20,138.65
2022-02-21,203.5
2022-02-22,65.8
2022-02-23,141.7
2022-02-24,240.0
2022-02-25,168.0
2022-02-26,168.0
2022-02-27,168.0
2022-02-28,65.6
2022-03-01,183.65
2022-03-02,137.0
2022-03-03,66.3
2022-03-04,312.0
2022-03-05,312.0
2022-03-06,312.0
2022-03-07,138.0
2022-03-08,71.6
2022-03-09,324.0
2022-03-10,108.0
2022-03-11,330.65
2022-03-12,330.65
2022-03-13,330.65
2022-03-14,132.6
2022-03-15,151.85
2022-03-16,358.05
2022-03-17,166.9
2022-03-18,331.0
2022-03-19,331.0
2022-03-20,331.0
2022-03-21,141.5
2022-03-22,197.0
2022-03-23,65.6
2022-03-24,147.9
2022-03-25,234.2
2022-03-26,234.2
2022-03-27,234.2
2022-03-28,156.0
2022-03-29,170.0
2022-03-30,65.35
2022-03-31,183.05
2022-04-01,136.5
2022-04-02,136.5
2022-04-03,136.5
2022-04-04,67.55
2022-04-05,316.0
2022-04-06,134.5
2022-04-07,136.0
2022-04-08,84.5
2022-04-09,84.5
2022-04-10,84.5
2022-04-11,329.35
2022-04-12,107.8
2022-04-13,335.0
2022-04-14,149.9
2022-04-15,149.9
2022-04-16,149.9
2022-04-17,149.9
2022-04-18,359.75
2022-04-19,168.6
2022-04-20,270.5
2022-04-21,142.95
2022-04-22,202.0
2022-04-23,202.0
2022-04-24,202.0
2022-04-25,65.65
2022-04-26,146.0
2022-04-27,67.25
2022-04-28,162.3
2022-04-29,175.0
2022-04-30,175.0
2022-05-01,175.0
2022-05-02,65.55
2022-05-03,184.1
2022-05-04,68.1
2022-05-05,324.0
2022-05-06,322.55
2022-05-07,322.55
2022-05-08,322.55
2022-05-09,137.05
2022-05-10,84.6
2022-05-11,331.8
2022-05-12,107.75
2022-05-13,374.0
2022-05-14,374.0
2022-05-15,374.0
2022-05-16,149.95
2022-05-17,365.0
2022-05-18,238.65
2022-05-19,267.0
2022-05-20,144.75
2022-05-21,144.75
2022-05-22,144.75
2022-05-23,207.65
2022-05-24,66.0
2022-05-25,67.5
2022-05-26,161.75
2022-05-27,175.0
2022-05-28,175.0
2022-05-29,175.0
2022-05-30,65.95
2022-05-31,68.45
2022-06-01,71.5
2022-06-02,322.5
2022-06-03,138.0
2022-06-04,138.0
2022-06-05,138.0
2022-06-06,84.0
2022-06-07,332.0
2022-06-08,133.1
2022-06-09,375.0
2022-06-10,145.9
2022-06-11,145.9
2022-06-12,145.9
2022-06-13,371.25
2022-06-14,334.25
2022-06-15,234.5
2022-06-16,268.0
2022-06-17,145.25
2022-06-18,145.25
2022-06-19,145.25
2022-06-20,230.5
2022-06-21,67.5
2022-06-22,159.5
2022-06-23,174.45
2022-06-24,136.5
2022-06-25,136.5
2022-06-26,136.5
2022-06-27,134.5
2022-06-28,71.5
2022-06-29,327.35
2022-06-30,138.65
2022-07-01,84.75
